,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
42202,8919695149bffff,15,0,0,0,0,0,0,1,2,12,0,Low-area,False
42217,891969c8833ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
42218,89196952633ffff,85,1,3,6,7,1,3,10,34,21,0,High-area,True
42303,891969536bbffff,67,1,0,2,2,3,0,12,39,9,0,High-area,True
42370,891969c916fffff,32,0,0,0,0,2,0,7,19,4,0,High-area,False
42402,891969c9b17ffff,97,1,20,5,10,6,9,27,16,4,0,High-area,True
42499,89196953057ffff,95,2,0,1,0,0,0,38,50,6,0,High-area,True
42594,891969c9333ffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
42595,891969524cfffff,91,2,1,2,1,0,0,10,72,5,0,High-area,True
42686,89196953003ffff,75,4,0,1,1,0,2,8,45,18,0,High-area,True
42761,8919695349bffff,45,2,4,2,2,0,0,14,13,10,0,High-area,True
42806,89196953653ffff,16,1,0,0,0,1,5,0,7,3,0,Low-area,True
42822,8919695353bffff,87,4,4,2,2,0,2,28,41,8,0,High-area,True
42909,89196826b47ffff,44,2,6,4,0,1,0,10,21,2,0,High-area,True
42953,891969c9e73ffff,4,0,0,0,0,0,0,0,3,0,1,Low-area,False
42957,891969526abffff,45,2,1,4,5,2,2,3,24,4,0,High-area,True
43002,89196826aabffff,9,2,0,0,0,1,0,2,5,0,1,Low-area,True
43011,89196953123ffff,71,2,1,0,0,2,1,17,46,4,0,High-area,True
43082,891969526bbffff,81,2,1,2,2,0,0,8,58,10,0,High-area,True
43163,89196826857ffff,8,0,0,0,0,3,0,2,3,0,0,Low-area,False
43171,891969c9947ffff,20,1,1,0,2,0,0,3,13,1,0,Low-area,True
43191,89196952643ffff,90,4,2,2,3,0,3,9,62,9,0,High-area,True
43281,891969c997bffff,78,2,8,12,1,3,0,6,41,7,0,High-area,True
43359,891969523dbffff,12,0,1,3,0,0,0,4,2,2,0,Low-area,False
43371,891969532b7ffff,72,2,1,0,3,3,0,14,39,12,0,High-area,True
