,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
5276,891e80cda13ffff,94,0,8,1,0,2,0,35,38,10,0,High-area,False
5370,891e805742bffff,4,0,0,0,0,0,0,1,3,0,0,Low-area,False
5374,891e80424b3ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,False
5375,891e80c9dcbffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
5376,891e80cd0dbffff,9,0,0,0,0,1,0,1,4,3,0,Low-area,False
5385,891e805a33bffff,64,0,1,1,1,3,0,18,29,11,0,High-area,False
5449,891e805769bffff,98,1,14,4,2,2,1,31,36,8,0,High-area,True
5547,891e8056227ffff,7,0,0,0,0,1,0,0,4,2,0,Low-area,False
5554,891e8042e13ffff,11,0,0,0,0,0,0,0,9,2,0,Low-area,False
5565,891e8055237ffff,38,0,3,0,0,0,0,14,17,4,0,High-area,False
5603,891e80576a3ffff,15,0,2,0,0,1,2,4,3,3,0,Low-area,False
5618,891e8054303ffff,3,0,1,0,0,1,0,1,0,0,0,Low-area,False
5621,891e8057613ffff,95,0,11,2,2,1,2,35,35,7,0,High-area,False
5716,891e804340fffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
5717,891e80508cfffff,1,0,0,1,0,0,0,0,0,0,0,Low-area,False
5718,891e8055e4fffff,8,0,0,0,0,0,0,3,4,1,0,Low-area,False
5726,891e8052903ffff,33,0,9,6,2,0,2,2,7,5,0,High-area,False
5759,891e80513cfffff,1,0,1,0,0,0,0,0,0,0,0,Low-area,False
5760,891e80cd3b7ffff,8,0,0,0,0,0,0,2,5,1,0,Low-area,False
5768,891e80422d7ffff,3,0,0,0,0,0,1,1,1,0,0,Low-area,False
5771,891e80530abffff,1,0,0,0,0,0,0,0,0,0,1,Low-area,False
5772,891e805ae6bffff,9,0,1,0,0,0,0,2,4,2,0,Low-area,False
5781,891e8052aa7ffff,93,1,10,2,6,2,5,17,39,12,0,High-area,True
5874,891e80c8b17ffff,6,0,1,1,0,0,1,2,0,1,0,Low-area,False
5880,891e8052ed7ffff,82,1,14,1,1,1,2,32,20,11,0,High-area,True
5962,891e8056643ffff,6,0,1,0,0,0,0,0,5,0,0,Low-area,False
5968,891e8058577ffff,37,0,12,2,0,0,0,19,2,2,0,High-area,False
6005,891e8055cd7ffff,5,0,0,0,0,1,0,0,3,1,0,Low-area,False
6010,891e8050b67ffff,49,0,5,2,0,1,2,16,12,11,0,High-area,False
6059,891e8052603ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
6060,891e80422afffff,10,0,0,1,0,0,1,1,5,2,0,Low-area,False
6070,891e80cdc83ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
6071,891e8041657ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
6072,891e80585b7ffff,12,0,1,0,0,0,1,3,6,1,0,Low-area,False
6084,891e80500afffff,97,0,6,8,1,3,3,37,28,11,0,High-area,False
6181,891e8054437ffff,2,0,0,0,0,0,0,2,0,0,0,Low-area,False
6183,891e8051563ffff,3,0,0,0,0,1,0,1,1,0,0,Low-area,False
6186,891e80550a3ffff,4,0,0,0,0,0,0,3,1,0,0,Low-area,False
6190,891e805255bffff,2,0,0,0,0,0,0,1,0,1,0,Low-area,False
6192,891e8051d2bffff,25,0,2,0,0,1,0,5,16,1,0,Low-area,False
6217,891e8055d83ffff,22,0,3,1,0,0,0,7,8,3,0,Low-area,False
6239,891e8051dc7ffff,11,0,4,0,0,0,1,3,2,1,0,Low-area,False
6250,891e8051e4fffff,13,0,0,0,1,0,0,1,6,5,0,Low-area,False
6263,891e805808fffff,6,0,1,0,0,3,1,0,1,0,0,Low-area,False
6269,891e80c894bffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,False
6270,891e8052ea7ffff,97,0,16,1,0,0,0,22,46,12,0,High-area,False
6367,891e805707bffff,2,0,0,0,0,0,0,1,1,0,0,Low-area,False
6369,891e80cdd4bffff,4,0,0,0,0,0,0,0,3,1,0,Low-area,False
6373,891e805b133ffff,11,0,1,0,0,5,0,1,4,0,0,Low-area,False
6384,891e8054643ffff,2,0,0,0,0,0,0,0,0,2,0,Low-area,False
6386,891e8054607ffff,33,0,2,1,0,0,0,9,17,4,0,High-area,False
6419,891e805b347ffff,33,0,13,1,1,2,5,3,4,4,0,High-area,False
6452,891e80530a3ffff,2,0,0,0,0,0,0,1,1,0,0,Low-area,False
6454,891e80ca273ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,False
6455,891e805557bffff,6,0,1,0,0,0,0,3,2,0,0,Low-area,False
6461,891e805ad63ffff,8,0,0,0,0,0,0,5,1,2,0,Low-area,False
6469,891e8054187ffff,38,0,2,0,0,1,0,17,15,3,0,High-area,False
6507,891e8051cabffff,60,0,6,5,0,2,0,16,27,4,0,High-area,False
6567,891e805549bffff,91,0,11,1,1,2,0,39,27,10,0,High-area,False
6658,891e805605bffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
6659,891e8050d83ffff,7,0,0,0,0,0,0,3,3,1,0,Low-area,False
6666,891e80574a7ffff,19,1,2,0,0,0,0,4,12,1,0,Low-area,True
6685,891e805852fffff,13,0,1,0,0,2,0,4,5,1,0,Low-area,False
6698,891e805720bffff,95,0,6,3,1,1,0,38,37,9,0,High-area,False
6793,891e8054cd3ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
6794,891e80430cbffff,24,0,4,3,1,5,0,2,7,2,0,Low-area,False
6818,891e8053527ffff,8,0,0,0,0,1,0,0,6,1,0,Low-area,False
6826,891e8052bb3ffff,87,0,1,2,1,1,10,12,46,14,0,High-area,False
6913,891e805ad77ffff,18,0,7,0,0,2,0,2,6,1,0,Low-area,False
6931,891e8051e83ffff,6,1,0,0,0,1,0,2,3,0,0,Low-area,True
6937,891e8055cc7ffff,15,0,1,0,0,1,0,7,6,0,0,Low-area,False
6952,891e805b057ffff,4,0,1,0,0,1,0,0,1,1,0,Low-area,False
6956,891e805a8b3ffff,13,0,0,0,0,1,0,3,8,1,0,Low-area,False
6969,891e8040227ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
6970,891e80c999bffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,False
6972,891e8041097ffff,2,0,0,0,0,2,0,0,0,0,0,Low-area,False
6974,891e80c812bffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
6975,891e8053633ffff,2,0,1,0,0,0,0,0,1,0,0,Low-area,False
