,0
754,891e805748fffff
755,891e80545d3ffff
756,891e80cc463ffff
757,891e80cda2fffff
758,891e8052e2bffff
759,891e80c8c2fffff
760,891e80528bbffff
761,891e80ce24bffff
762,891e80cd3cbffff
763,891e8058d47ffff
764,891e805243bffff
765,891e80cc17bffff
766,891e804000bffff
767,891e805668fffff
768,891e805102bffff
769,891e8626bb3ffff
770,891e8053213ffff
771,891e8057333ffff
772,891e80425b7ffff
773,891e8050b93ffff
774,891e8050283ffff
775,891e8626bcfffff
776,891e80cd417ffff
777,891e804356fffff
778,891e80402dbffff
779,891e80ce267ffff
780,891e8058b5bffff
781,891e80566afffff
782,891e8041627ffff
783,891e805acd3ffff
784,891e8055607ffff
785,891e805a107ffff
786,891e8054d8bffff
787,891e8052437ffff
788,891e805b507ffff
789,891e80cd3d7ffff
790,891e80c8e03ffff
791,891e80c1287ffff
792,891e804258bffff
793,891e80503b7ffff
794,891e80cc613ffff
795,891e80cd997ffff
796,891e8626e2bffff
797,891e805056fffff
798,891e80cc147ffff
799,891e8050a13ffff
800,891e805a12bffff
801,891e80500b7ffff
802,891e80cd98bffff
803,891e805a2bbffff
804,891e80ca2bbffff
805,891e80cca47ffff
806,891e80cd443ffff
807,891e8057367ffff
808,891e8053103ffff
809,891e8050da7ffff
810,891e8058e4bffff
811,891e8051237ffff
812,891e8052ecfffff
813,891e8042ec7ffff
814,891e80c88bbffff
815,891e80576afffff
816,891e805743bffff
817,891e80c1207ffff
818,891e804a603ffff
819,891e8052e27ffff
820,891e80c1347ffff
821,891e804029bffff
822,891e80c8e0fffff
823,891e805083bffff
824,891e805029bffff
825,891e80ca343ffff
826,891e804301bffff
827,891e805b5a3ffff
828,891e80c9c03ffff
829,891e80503d7ffff
830,891e800b65bffff
831,891e805032bffff
832,891e805186fffff
833,891e80cdc97ffff
834,891e80c855bffff
835,891e8042283ffff
836,891e805412fffff
837,891e805b397ffff
838,891e8624ec7ffff
839,891e805a0cfffff
840,891e804a407ffff
841,891e804a553ffff
842,891e80573c7ffff
843,891e8624c2bffff
844,891e80ca397ffff
845,891e805728bffff
846,891e8041477ffff
847,891e804159bffff
848,891e804106bffff
849,891e8626b73ffff
850,891e80ca90bffff
851,891e80cd143ffff
